0.923409,-0.923409,-1.6901,-1.92558,-1.97583,-2.04984,-2.07634,-1.79659,-0.947049,0.947049
-0.923409,0.923409,1.6901,1.92558,1.97583,2.04984,2.07634,1.79659,0.947049,-0.947049
-1.7416,1.7416,3.24246,3.88165,4.25996,4.47128,4.24248,3.3218,1.60953,-1.60953
-2.00631,2.00631,3.93898,5.02052,5.6472,5.73311,5.18697,4.09387,2.08256,-2.08256
-2.06931,2.06931,4.37285,5.70409,6.25336,6.15901,5.69262,4.6921,2.37357,-2.37357
-2.13258,2.13258,4.58068,5.80972,6.21515,6.26097,5.99178,4.91402,2.36216,-2.36216
-2.07047,2.07047,4.27611,5.28658,5.7693,5.98038,5.70926,4.55947,2.10909,-2.10909
-1.67167,1.67167,3.30587,4.14121,4.62988,4.801,4.49299,3.5143,1.64208,-1.64208
-0.829335,0.829335,1.55743,1.97269,2.21525,2.24145,2.0234,1.62088,0.871169,-0.871169
0.829335,-0.829335,-1.55743,-1.97269,-2.21525,-2.24145,-2.0234,-1.62088,-0.871169,0.871169
