1.62669,-1.62669,-3.33974,-3.78111,-3.15132,-3.07252,-3.60177,-3.40684,-1.47862,1.47862
-1.62669,1.62669,3.33974,3.78111,3.15132,3.07252,3.60177,3.40684,1.47862,-1.47862
-2.99884,2.99884,5.53994,5.85116,6.09765,6.82193,6.76216,4.83172,2.02522,-2.02522
-3.05084,3.05084,5.43874,6.76372,7.9828,8.38127,7.1959,5.3026,2.49066,-2.49066
-2.54071,2.54071,5.57229,7.747,8.84902,8.47837,7.50443,5.99386,2.96254,-2.96254
-2.57044,2.57044,6.23656,8.27408,8.71651,8.503,8.01725,6.61843,3.17169,-3.17169
-2.82183,2.82183,6.15455,7.50238,7.99118,8.23948,7.95067,6.30343,2.66462,-2.66462
-2.30464,2.30464,4.57279,5.63847,6.3084,6.63888,6.16983,4.57302,1.98972,-1.98972
-0.956093,0.956093,1.87531,2.42981,2.83309,2.90254,2.49105,1.91686,0.994414,-0.994414
0.956093,-0.956093,-1.87531,-2.42981,-2.83309,-2.90254,-2.49105,-1.91686,-0.994414,0.994414
